angry,disgust,fear,happy,sad,surprise,neutral,face_position_x,face_position_y,center_closeness
0.125,0.004,0.218,0.022,0.353,0.003,0.275,692.5,389.5,0.9179896058552669
0.167,0.01,0.118,0.022,0.239,0.005,0.439,688.0,394.0,0.9198943575858258
0.137,0.009,0.087,0.064,0.269,0.01,0.424,689.0,393.0,0.9195478283153066
0.064,0.002,0.106,0.005,0.448,0.002,0.373,690.0,394.0,0.9176567220092189
0.036,0.001,0.076,0.012,0.297,0.003,0.574,690.0,392.0,0.9191568907784631
0.025,0.0,0.01,0.001,0.134,0.0,0.83,690.5,394.5,0.9167105704178574
0.086,0.0,0.115,0.006,0.398,0.007,0.388,691.0,394.0,0.9165270704340239
0.018,0.0,0.052,0.01,0.378,0.005,0.536,690.5,394.5,0.9167105704178574
0.087,0.0,0.079,0.004,0.415,0.003,0.413,690.0,397.0,0.9152920009452615
0.023,0.0,0.084,0.02,0.179,0.02,0.674,687.0,398.0,0.9176905131102892
0.081,0.028,0.19,0.491,0.132,0.0,0.079,687.0,399.0,0.9168275539234889
0.018,0.0,0.02,0.008,0.202,0.0,0.751,684.5,398.5,0.9198654229118051
0.015,0.0,0.007,0.001,0.062,0.0,0.915,681.5,401.5,0.920073986363723
